iter	Passed	Remaining
417	3549	696
418	3559	688
419	3569	679
420	3580	671
421	3589	663
422	3598	654
423	3607	646
424	3617	638
425	3628	630
426	3636	621
427	3646	613
428	3654	604
429	3663	596
430	3673	588
431	3680	579
432	3691	571
433	3699	562
434	3711	554
435	3719	545
436	3727	537
437	3736	528
438	3743	520
439	3752	511
440	3761	503
441	3771	494
442	3778	486
443	3789	478
444	3797	469
445	3807	461
446	3815	452
447	3825	443
448	3835	435
449	3843	427
450	3855	418
451	3863	410
452	3874	402
453	3885	393
454	3893	385
455	3903	376
456	3911	368
457	3922	359
458	3930	351
459	3939	342
460	3951	334
461	3960	325
462	3972	317
463	3982	308
464	3991	300
465	4004	292
466	4014	283
467	4022	275
468	4035	266
469	4043	258
470	4055	249
471	4066	241
472	4073	232
473	4083	224
474	4091	215
475	4101	206
476	4110	198
477	4118	189
478	4127	180
479	4134	172
480	4142	163
481	4150	154
482	4158	146
483	4165	137
484	4173	129
485	4180	120
486	4188	111
487	4197	103
488	4204	94
489	4212	85
490	4219	77
491	4227	68
492	4235	60
493	4242	51
494	4250	42
495	4258	34
496	4266	25
497	4274	17
498	4282	8
499	4292	0
