iter	Logloss
0	0.6739370046
1	0.6543727404
2	0.636136643
3	0.6205865769
4	0.6059955229
5	0.59555635
6	0.58332916
7	0.5710241297
8	0.5622297015
9	0.546114259
10	0.5395850623
11	0.5322439639
12	0.5271979811
13	0.5180417761
14	0.5090313773
15	0.5038873582
16	0.4943898705
17	0.4918938382
18	0.487922566
19	0.4839716761
20	0.4801424839
21	0.4764873053
22	0.4737404252
23	0.4673675798
24	0.4649344084
25	0.4621043968
26	0.4595181904
27	0.4574659112
28	0.4558138259
29	0.4529855656
30	0.4496427916
31	0.4477741023
32	0.4440683218
33	0.4426686493
34	0.4392071213
35	0.438006018
36	0.4366585123
37	0.4344999618
38	0.4304550972
39	0.4288066263
40	0.4263666733
41	0.4244357937
42	0.4229395008
43	0.4217116807
44	0.4186041416
45	0.4155300266
46	0.4140807956
47	0.4135571155
48	0.4124284868
49	0.4111667954
50	0.4100537795
51	0.4080258697
52	0.4065986978
53	0.40530906
54	0.4041222653
55	0.4030550443
56	0.4021888891
57	0.4013571268
58	0.3999092745
59	0.3990216191
60	0.3981778584
61	0.3971750634
62	0.3957368248
63	0.3948314699
64	0.3940899561
65	0.3930236295
66	0.3921995431
67	0.391323588
68	0.3906288007
69	0.3895128783
70	0.38875251
71	0.3881255396
72	0.3874235235
73	0.3861100007
74	0.3847091731
75	0.3833119971
76	0.3826235071
77	0.3817848886
78	0.3808359745
79	0.3794196458
80	0.3785503979
81	0.377443642
82	0.3761455084
83	0.3757488172
84	0.3746988858
85	0.3740438571
86	0.3730768336
87	0.3722155598
88	0.3713901692
89	0.3698367164
90	0.3692971999
91	0.368574019
92	0.3678806477
93	0.3674987495
94	0.3666575226
95	0.3647000007
96	0.3639247275
97	0.3629049783
98	0.3616727985
99	0.3609695155
100	0.360263736
101	0.3594678942
102	0.3587661017
103	0.3573693728
104	0.3565643646
105	0.3558042198
106	0.3554526528
107	0.3548393948
108	0.3544020135
109	0.3534038763
110	0.3526746962
111	0.3519983909
112	0.3503160861
113	0.3489603082
114	0.348701002
115	0.3481985612
116	0.3467312954
117	0.3457272335
118	0.3450949346
119	0.3443997748
120	0.3424883832
121	0.3419273665
122	0.3410634843
123	0.3401960995
124	0.3395639124
125	0.3385368226
126	0.3381021614
127	0.3374615903
128	0.3369663783
129	0.3363180941
130	0.3357618469
131	0.3352569468
132	0.3343488719
133	0.3335487822
134	0.3327150077
135	0.331671709
136	0.3305436392
137	0.3296490158
138	0.3289815789
139	0.3283485347
140	0.3276653732
141	0.3267671727
142	0.3261655405
143	0.32529864
144	0.3246383946
145	0.3238486638
146	0.3234858065
147	0.3221584967
148	0.3216518453
149	0.3209562383
150	0.3198735536
151	0.3193035568
152	0.3187726106
153	0.3180738736
154	0.3165519072
155	0.3156170408
156	0.3150007274
157	0.3143663045
158	0.3139165522
159	0.3134539445
160	0.3129241906
161	0.3120311881
162	0.3114575583
163	0.3105306288
164	0.3098596333
165	0.3093304943
166	0.3085929861
167	0.3080677969
168	0.3075427008
169	0.3070144746
170	0.3062103793
171	0.3056695214
