iter	Logloss
172	0.304894714
173	0.3042080685
174	0.3034668341
175	0.3027244447
176	0.3021289979
177	0.3016118386
178	0.3010138021
179	0.3000963372
180	0.2991752951
181	0.2981990865
182	0.2975581056
183	0.2972579975
184	0.2966002114
185	0.2958326328
186	0.2948174855
187	0.294455951
188	0.2934257498
189	0.2925152156
190	0.2918971694
191	0.2911761124
192	0.2903688498
193	0.2897146968
194	0.2891446441
195	0.2884099865
196	0.2881345458
197	0.287448366
198	0.2869034279
199	0.2862016168
200	0.2856217455
201	0.284615243
202	0.2837579562
203	0.2831075107
204	0.282693828
205	0.282002916
206	0.2812581976
207	0.2805512443
208	0.2799661937
209	0.2791562296
210	0.2785655524
211	0.2770332644
212	0.2766473791
213	0.2759421212
214	0.2750583225
215	0.2744687631
216	0.2739026043
217	0.2732840178
218	0.2725600172
219	0.2718366872
220	0.2707680876
221	0.2699668987
222	0.2692302848
223	0.2686886071
224	0.2680557121
225	0.2674294869
226	0.2669522352
227	0.2663829463
228	0.2657898844
229	0.2648732764
230	0.2643337599
231	0.2638213329
232	0.2627106831
233	0.2617913736
234	0.2610475496
235	0.2603815659
236	0.259979099
237	0.2594178774
238	0.2583570096
239	0.2577560294
240	0.2571943234
241	0.2565846239
242	0.2557716975
243	0.2551292261
244	0.2546248104
245	0.2539140378
246	0.2535756615
247	0.2530859457
248	0.2523214971
249	0.2515765552
250	0.2509093419
251	0.2498192793
252	0.249513172
253	0.2487037668
254	0.2479117257
255	0.2472325512
256	0.2466706775
257	0.2461016868
258	0.2454358149
259	0.2451447427
260	0.2443532792
261	0.2436223665
262	0.2429239275
263	0.2422817356
264	0.2418382433
265	0.24102854
266	0.240389683
267	0.2396414993
268	0.2392360888
269	0.2387778779
270	0.2381501437
271	0.2375666207
272	0.2372220218
273	0.2364758316
274	0.2358745719
275	0.2352808206
276	0.2346069932
277	0.2340157198
278	0.2336040492
279	0.2327577174
280	0.2321639847
281	0.2316271883
282	0.2309676882
283	0.2302911593
284	0.229662214
285	0.2292830359
286	0.2284526709
287	0.2275895711
288	0.2272701613
289	0.2266744723
290	0.2261840299
291	0.2258046468
292	0.2250526251
293	0.2245576926
294	0.223956433
295	0.223418407
296	0.2227149377
297	0.2220316644
298	0.2213484469
299	0.2207315559
300	0.220077496
301	0.2192783752
302	0.218976553
303	0.2183200151
304	0.2179924635
305	0.2177069435
306	0.2171496716
307	0.2166686192
308	0.2160261105
309	0.2155018528
310	0.2148501032
311	0.2143815708
312	0.2138177595
313	0.2132729704
314	0.2129990202
315	0.2128147596
316	0.21218628
317	0.2118430411
318	0.2113018851
319	0.2107381483
320	0.2104746128
321	0.2099840772
322	0.2094008896
323	0.2090577625
324	0.208767063
325	0.2085059682
326	0.2081611829
327	0.2076302367
328	0.2070066757
329	0.2065040672
330	0.2060992901
331	0.2058506035
332	0.2053356427
333	0.2051722116
334	0.2046050653
335	0.203934163
336	0.2033052363
337	0.2027781653
338	0.2024782062
339	0.2021939903
340	0.2017437163
341	0.2012055598
342	0.2009857699
343	0.2007473863
344	0.2002905542
345	0.1995828929
346	0.199133774
347	0.1986520322
348	0.1981532431
349	0.1977480934
350	0.1970941825
351	0.1966992985
352	0.1960626213
353	0.1956579374
354	0.1952950986
355	0.1948276841
356	0.1942459311
357	0.1939027295
358	0.1937136435
359	0.1933763478
360	0.1928705721
361	0.1926097753
362	0.1922335037
363	0.1918117351
364	0.1912235544
365	0.1907636295
366	0.190488785
367	0.1899669866
368	0.1894636515
369	0.188951802
370	0.1883983682
371	0.1880063161
372	0.1874352759
373	0.1869232401
374	0.1864494538
375	0.1858222412
376	0.1852984306
377	0.1849044222
378	0.1845057188
379	0.1842919095
380	0.1838008895
381	0.1835157606
382	0.1832460396
383	0.1828744071
384	0.1822670737
385	0.1816946922
386	0.1812769106
387	0.1811666896
388	0.1808139303
389	0.180067237
390	0.1797100249
391	0.1792338724
392	0.1788742941
393	0.178578322
394	0.1781098455
395	0.1776256072
396	0.1771429525
397	0.1765715957
398	0.1762384361
399	0.1757777101
400	0.1752941611
401	0.1748764541
402	0.1745672354
403	0.1741172595
404	0.1737366282
405	0.1734449226
406	0.1731503665
407	0.1724939963
408	0.1721279904
409	0.1716990116
410	0.1712716537
411	0.1709604974
412	0.1706942045
413	0.1705600613
414	0.1701422425
415	0.1698215843
416	0.1695407593
417	0.1692413405
418	0.1691141839
419	0.1688710866
420	0.1684736128
421	0.1681645991
422	0.1677787883
423	0.1671818883
424	0.1668116904
425	0.1664365738
426	0.1661664988
427	0.1658065107
428	0.1652181996
429	0.1650504088
430	0.1647196154
431	0.1645507067
432	0.1642777626
433	0.1638299479
434	0.1636361668
435	0.1633264264
436	0.1629457392
437	0.1626588777
438	0.162289779
439	0.1617187947
440	0.1613665943
441	0.160946577
442	0.1605367695
443	0.1599196363
444	0.1593595884
445	0.1592282771
446	0.1590586046
447	0.1588462858
448	0.158462394
449	0.1581036355
450	0.1576822022
451	0.1573934217
452	0.1571306501
453	0.1566848103
454	0.156117338
455	0.1556096712
456	0.1553644499
457	0.1550283467
458	0.1547351879
459	0.154254415
460	0.1538545471
461	0.1536845486
462	0.1531281617
463	0.1527747223
464	0.152266245
465	0.1519345387
466	0.1516530336
467	0.1513625111
468	0.1509011423
469	0.1505797669
470	0.1503299345
471	0.1500761337
472	0.1496151469
473	0.14941396
474	0.1489826524
475	0.1486298278
476	0.1485387409
477	0.1480166443
478	0.1476580721
479	0.1475674509
480	0.147245293
481	0.147039821
482	0.1467514224
483	0.146462791
484	0.1462206532
485	0.1458696638
486	0.14554745
487	0.145080082
488	0.1447866344
489	0.1443584195
490	0.1439723386
491	0.143559308
492	0.1434335115
493	0.1433709113
494	0.1431368501
495	0.142741966
496	0.1426900414
497	0.1422866989
498	0.1420997461
499	0.1418780279
